=======================================================
1 layer
Epoch 0, Loss 5.269, Train Accuracy 0.440, Validation Accuracy 0.477, Train F1-Macro 0.421, Validation F1-Macro 0.457, Train F1-Micro 0.440, Validation F1-Micro 0.457
Epoch 1, Loss 1.368, Train Accuracy 0.675, Validation Accuracy 0.652, Train F1-Macro 0.673, Validation F1-Macro 0.647, Train F1-Micro 0.675, Validation F1-Micro 0.647
Epoch 2, Loss 0.963, Train Accuracy 0.740, Validation Accuracy 0.704, Train F1-Macro 0.727, Validation F1-Macro 0.698, Train F1-Micro 0.740, Validation F1-Micro 0.698
Epoch 3, Loss 0.783, Train Accuracy 0.745, Validation Accuracy 0.727, Train F1-Macro 0.728, Validation F1-Macro 0.720, Train F1-Micro 0.745, Validation F1-Micro 0.720
Epoch 4, Loss 0.687, Train Accuracy 0.760, Validation Accuracy 0.744, Train F1-Macro 0.752, Validation F1-Macro 0.741, Train F1-Micro 0.760, Validation F1-Micro 0.741
Epoch 5, Loss 0.626, Train Accuracy 0.825, Validation Accuracy 0.788, Train F1-Macro 0.827, Validation F1-Macro 0.792, Train F1-Micro 0.825, Validation F1-Micro 0.792
Epoch 6, Loss 0.556, Train Accuracy 0.840, Validation Accuracy 0.809, Train F1-Macro 0.843, Validation F1-Macro 0.809, Train F1-Micro 0.840, Validation F1-Micro 0.809
Epoch 7, Loss 0.508, Train Accuracy 0.870, Validation Accuracy 0.836, Train F1-Macro 0.871, Validation F1-Macro 0.837, Train F1-Micro 0.870, Validation F1-Micro 0.837
Epoch 8, Loss 0.465, Train Accuracy 0.860, Validation Accuracy 0.848, Train F1-Macro 0.856, Validation F1-Macro 0.850, Train F1-Micro 0.860, Validation F1-Micro 0.850
Epoch 9, Loss 0.412, Train Accuracy 0.875, Validation Accuracy 0.855, Train F1-Macro 0.878, Validation F1-Macro 0.856, Train F1-Micro 0.875, Validation F1-Micro 0.856
Epoch 10, Loss 0.390, Train Accuracy 0.895, Validation Accuracy 0.869, Train F1-Macro 0.895, Validation F1-Macro 0.870, Train F1-Micro 0.895, Validation F1-Micro 0.870
Epoch 11, Loss 0.369, Train Accuracy 0.895, Validation Accuracy 0.877, Train F1-Macro 0.890, Validation F1-Macro 0.878, Train F1-Micro 0.895, Validation F1-Micro 0.878
Epoch 12, Loss 0.338, Train Accuracy 0.900, Validation Accuracy 0.878, Train F1-Macro 0.901, Validation F1-Macro 0.879, Train F1-Micro 0.900, Validation F1-Micro 0.879
Epoch 13, Loss 0.324, Train Accuracy 0.915, Validation Accuracy 0.884, Train F1-Macro 0.909, Validation F1-Macro 0.884, Train F1-Micro 0.915, Validation F1-Micro 0.884
Epoch 14, Loss 0.319, Train Accuracy 0.915, Validation Accuracy 0.881, Train F1-Macro 0.908, Validation F1-Macro 0.881, Train F1-Micro 0.915, Validation F1-Micro 0.881
Epoch 15, Loss 0.297, Train Accuracy 0.915, Validation Accuracy 0.893, Train F1-Macro 0.915, Validation F1-Macro 0.893, Train F1-Micro 0.915, Validation F1-Micro 0.893
Epoch 16, Loss 0.284, Train Accuracy 0.930, Validation Accuracy 0.894, Train F1-Macro 0.929, Validation F1-Macro 0.895, Train F1-Micro 0.930, Validation F1-Micro 0.895
Epoch 17, Loss 0.274, Train Accuracy 0.915, Validation Accuracy 0.900, Train F1-Macro 0.916, Validation F1-Macro 0.900, Train F1-Micro 0.915, Validation F1-Micro 0.900
Epoch 18, Loss 0.264, Train Accuracy 0.925, Validation Accuracy 0.900, Train F1-Macro 0.929, Validation F1-Macro 0.900, Train F1-Micro 0.925, Validation F1-Micro 0.900
Epoch 19, Loss 0.256, Train Accuracy 0.930, Validation Accuracy 0.900, Train F1-Macro 0.932, Validation F1-Macro 0.901, Train F1-Micro 0.930, Validation F1-Micro 0.901
Epoch 20, Loss 0.236, Train Accuracy 0.930, Validation Accuracy 0.905, Train F1-Macro 0.934, Validation F1-Macro 0.905, Train F1-Micro 0.930, Validation F1-Micro 0.905
Epoch 21, Loss 0.226, Train Accuracy 0.945, Validation Accuracy 0.903, Train F1-Macro 0.947, Validation F1-Macro 0.903, Train F1-Micro 0.945, Validation F1-Micro 0.903
Epoch 22, Loss 0.213, Train Accuracy 0.935, Validation Accuracy 0.906, Train F1-Macro 0.940, Validation F1-Macro 0.906, Train F1-Micro 0.935, Validation F1-Micro 0.906
Epoch 23, Loss 0.230, Train Accuracy 0.935, Validation Accuracy 0.904, Train F1-Macro 0.939, Validation F1-Macro 0.904, Train F1-Micro 0.935, Validation F1-Micro 0.904
Epoch 24, Loss 0.200, Train Accuracy 0.945, Validation Accuracy 0.906, Train F1-Macro 0.948, Validation F1-Macro 0.906, Train F1-Micro 0.945, Validation F1-Micro 0.906
Epoch 25, Loss 0.209, Train Accuracy 0.935, Validation Accuracy 0.910, Train F1-Macro 0.935, Validation F1-Macro 0.909, Train F1-Micro 0.935, Validation F1-Micro 0.909
Epoch 26, Loss 0.200, Train Accuracy 0.935, Validation Accuracy 0.912, Train F1-Macro 0.939, Validation F1-Macro 0.912, Train F1-Micro 0.935, Validation F1-Micro 0.912
Epoch 27, Loss 0.190, Train Accuracy 0.950, Validation Accuracy 0.915, Train F1-Macro 0.953, Validation F1-Macro 0.915, Train F1-Micro 0.950, Validation F1-Micro 0.915
Epoch 28, Loss 0.188, Train Accuracy 0.950, Validation Accuracy 0.912, Train F1-Macro 0.954, Validation F1-Macro 0.911, Train F1-Micro 0.950, Validation F1-Micro 0.911
Epoch 29, Loss 0.186, Train Accuracy 0.945, Validation Accuracy 0.907, Train F1-Macro 0.947, Validation F1-Macro 0.907, Train F1-Micro 0.945, Validation F1-Micro 0.907
Epoch 30, Loss 0.177, Train Accuracy 0.950, Validation Accuracy 0.914, Train F1-Macro 0.957, Validation F1-Macro 0.914, Train F1-Micro 0.950, Validation F1-Micro 0.914
Epoch 31, Loss 0.174, Train Accuracy 0.960, Validation Accuracy 0.917, Train F1-Macro 0.963, Validation F1-Macro 0.917, Train F1-Micro 0.960, Validation F1-Micro 0.917
