=======================================================
784-50-10
Epoch 0, Loss 2.001, Train Accuracy 0.652, Validation Accuracy 0.643, Train F1-Macro 0.613, Validation F1-Macro 0.606, Train F1-Micro 0.652, Validation F1-Micro 0.606
Epoch 1, Loss 1.305, Train Accuracy 0.783, Validation Accuracy 0.783, Train F1-Macro 0.777, Validation F1-Macro 0.779, Train F1-Micro 0.784, Validation F1-Micro 0.779
Epoch 2, Loss 0.817, Train Accuracy 0.831, Validation Accuracy 0.831, Train F1-Macro 0.828, Validation F1-Macro 0.830, Train F1-Micro 0.831, Validation F1-Micro 0.830
Epoch 3, Loss 0.590, Train Accuracy 0.866, Validation Accuracy 0.858, Train F1-Macro 0.862, Validation F1-Macro 0.858, Train F1-Micro 0.866, Validation F1-Micro 0.858
Epoch 4, Loss 0.481, Train Accuracy 0.872, Validation Accuracy 0.872, Train F1-Macro 0.870, Validation F1-Macro 0.871, Train F1-Micro 0.872, Validation F1-Micro 0.871
Epoch 5, Loss 0.419, Train Accuracy 0.894, Validation Accuracy 0.883, Train F1-Macro 0.892, Validation F1-Macro 0.882, Train F1-Micro 0.894, Validation F1-Micro 0.882
Epoch 6, Loss 0.380, Train Accuracy 0.898, Validation Accuracy 0.890, Train F1-Macro 0.895, Validation F1-Macro 0.889, Train F1-Micro 0.898, Validation F1-Micro 0.889
Epoch 7, Loss 0.351, Train Accuracy 0.903, Validation Accuracy 0.895, Train F1-Macro 0.902, Validation F1-Macro 0.894, Train F1-Micro 0.903, Validation F1-Micro 0.894
Epoch 8, Loss 0.330, Train Accuracy 0.911, Validation Accuracy 0.900, Train F1-Macro 0.908, Validation F1-Macro 0.900, Train F1-Micro 0.911, Validation F1-Micro 0.900
Epoch 9, Loss 0.312, Train Accuracy 0.908, Validation Accuracy 0.906, Train F1-Macro 0.906, Validation F1-Macro 0.905, Train F1-Micro 0.908, Validation F1-Micro 0.905
Epoch 10, Loss 0.297, Train Accuracy 0.924, Validation Accuracy 0.908, Train F1-Macro 0.922, Validation F1-Macro 0.908, Train F1-Micro 0.924, Validation F1-Micro 0.908
Epoch 11, Loss 0.286, Train Accuracy 0.925, Validation Accuracy 0.912, Train F1-Macro 0.923, Validation F1-Macro 0.911, Train F1-Micro 0.925, Validation F1-Micro 0.911
Epoch 12, Loss 0.275, Train Accuracy 0.922, Validation Accuracy 0.914, Train F1-Macro 0.921, Validation F1-Macro 0.913, Train F1-Micro 0.922, Validation F1-Micro 0.913
Epoch 13, Loss 0.266, Train Accuracy 0.929, Validation Accuracy 0.915, Train F1-Macro 0.927, Validation F1-Macro 0.915, Train F1-Micro 0.929, Validation F1-Micro 0.915
Epoch 14, Loss 0.257, Train Accuracy 0.918, Validation Accuracy 0.917, Train F1-Macro 0.916, Validation F1-Macro 0.917, Train F1-Micro 0.918, Validation F1-Micro 0.917
Epoch 15, Loss 0.250, Train Accuracy 0.935, Validation Accuracy 0.919, Train F1-Macro 0.934, Validation F1-Macro 0.918, Train F1-Micro 0.935, Validation F1-Micro 0.918
Epoch 16, Loss 0.244, Train Accuracy 0.938, Validation Accuracy 0.920, Train F1-Macro 0.936, Validation F1-Macro 0.920, Train F1-Micro 0.938, Validation F1-Micro 0.920
Epoch 17, Loss 0.237, Train Accuracy 0.930, Validation Accuracy 0.922, Train F1-Macro 0.929, Validation F1-Macro 0.921, Train F1-Micro 0.930, Validation F1-Micro 0.921
Epoch 18, Loss 0.232, Train Accuracy 0.938, Validation Accuracy 0.923, Train F1-Macro 0.936, Validation F1-Macro 0.923, Train F1-Micro 0.938, Validation F1-Micro 0.923
Epoch 19, Loss 0.225, Train Accuracy 0.928, Validation Accuracy 0.923, Train F1-Macro 0.928, Validation F1-Macro 0.923, Train F1-Micro 0.928, Validation F1-Micro 0.923
Epoch 20, Loss 0.220, Train Accuracy 0.941, Validation Accuracy 0.924, Train F1-Macro 0.940, Validation F1-Macro 0.924, Train F1-Micro 0.941, Validation F1-Micro 0.924
Epoch 21, Loss 0.216, Train Accuracy 0.946, Validation Accuracy 0.925, Train F1-Macro 0.945, Validation F1-Macro 0.925, Train F1-Micro 0.946, Validation F1-Micro 0.925
Epoch 22, Loss 0.211, Train Accuracy 0.935, Validation Accuracy 0.926, Train F1-Macro 0.935, Validation F1-Macro 0.926, Train F1-Micro 0.935, Validation F1-Micro 0.926
Epoch 23, Loss 0.207, Train Accuracy 0.942, Validation Accuracy 0.927, Train F1-Macro 0.940, Validation F1-Macro 0.927, Train F1-Micro 0.942, Validation F1-Micro 0.927
Epoch 24, Loss 0.202, Train Accuracy 0.933, Validation Accuracy 0.927, Train F1-Macro 0.932, Validation F1-Macro 0.927, Train F1-Micro 0.933, Validation F1-Micro 0.927
Epoch 25, Loss 0.198, Train Accuracy 0.944, Validation Accuracy 0.928, Train F1-Macro 0.942, Validation F1-Macro 0.928, Train F1-Micro 0.944, Validation F1-Micro 0.928
