=======================================================
swish
Epoch 0, Loss 1.362, Train Accuracy 0.836, Validation Accuracy 0.822, Train F1-Macro 0.832, Validation F1-Macro 0.820, Train F1-Micro 0.836, Validation F1-Micro 0.820
Epoch 1, Loss 0.457, Train Accuracy 0.903, Validation Accuracy 0.893, Train F1-Macro 0.901, Validation F1-Macro 0.892, Train F1-Micro 0.903, Validation F1-Micro 0.892
Epoch 2, Loss 0.315, Train Accuracy 0.929, Validation Accuracy 0.910, Train F1-Macro 0.928, Validation F1-Macro 0.909, Train F1-Micro 0.929, Validation F1-Micro 0.909
Epoch 3, Loss 0.255, Train Accuracy 0.943, Validation Accuracy 0.922, Train F1-Macro 0.942, Validation F1-Macro 0.922, Train F1-Micro 0.943, Validation F1-Micro 0.922
Epoch 4, Loss 0.216, Train Accuracy 0.944, Validation Accuracy 0.930, Train F1-Macro 0.942, Validation F1-Macro 0.930, Train F1-Micro 0.944, Validation F1-Micro 0.930
Epoch 5, Loss 0.186, Train Accuracy 0.954, Validation Accuracy 0.938, Train F1-Macro 0.953, Validation F1-Macro 0.938, Train F1-Micro 0.954, Validation F1-Micro 0.938
Epoch 6, Loss 0.163, Train Accuracy 0.956, Validation Accuracy 0.944, Train F1-Macro 0.955, Validation F1-Macro 0.944, Train F1-Micro 0.956, Validation F1-Micro 0.944
Epoch 7, Loss 0.145, Train Accuracy 0.959, Validation Accuracy 0.945, Train F1-Macro 0.958, Validation F1-Macro 0.945, Train F1-Micro 0.959, Validation F1-Micro 0.945
Epoch 8, Loss 0.132, Train Accuracy 0.963, Validation Accuracy 0.946, Train F1-Macro 0.963, Validation F1-Macro 0.946, Train F1-Micro 0.963, Validation F1-Micro 0.946
Epoch 9, Loss 0.120, Train Accuracy 0.966, Validation Accuracy 0.951, Train F1-Macro 0.965, Validation F1-Macro 0.951, Train F1-Micro 0.966, Validation F1-Micro 0.951
Epoch 10, Loss 0.110, Train Accuracy 0.971, Validation Accuracy 0.951, Train F1-Macro 0.970, Validation F1-Macro 0.951, Train F1-Micro 0.971, Validation F1-Micro 0.951
Epoch 11, Loss 0.097, Train Accuracy 0.976, Validation Accuracy 0.953, Train F1-Macro 0.976, Validation F1-Macro 0.953, Train F1-Micro 0.976, Validation F1-Micro 0.953
Epoch 12, Loss 0.088, Train Accuracy 0.977, Validation Accuracy 0.954, Train F1-Macro 0.977, Validation F1-Macro 0.954, Train F1-Micro 0.977, Validation F1-Micro 0.954
Epoch 13, Loss 0.081, Train Accuracy 0.981, Validation Accuracy 0.955, Train F1-Macro 0.981, Validation F1-Macro 0.955, Train F1-Micro 0.981, Validation F1-Micro 0.955
Epoch 14, Loss 0.073, Train Accuracy 0.980, Validation Accuracy 0.953, Train F1-Macro 0.979, Validation F1-Macro 0.953, Train F1-Micro 0.980, Validation F1-Micro 0.953
Epoch 15, Loss 0.069, Train Accuracy 0.982, Validation Accuracy 0.955, Train F1-Macro 0.982, Validation F1-Macro 0.955, Train F1-Micro 0.982, Validation F1-Micro 0.955
Epoch 16, Loss 0.063, Train Accuracy 0.988, Validation Accuracy 0.956, Train F1-Macro 0.988, Validation F1-Macro 0.955, Train F1-Micro 0.988, Validation F1-Micro 0.955
Epoch 17, Loss 0.057, Train Accuracy 0.986, Validation Accuracy 0.956, Train F1-Macro 0.985, Validation F1-Macro 0.956, Train F1-Micro 0.986, Validation F1-Micro 0.956
Epoch 18, Loss 0.053, Train Accuracy 0.988, Validation Accuracy 0.958, Train F1-Macro 0.988, Validation F1-Macro 0.957, Train F1-Micro 0.988, Validation F1-Micro 0.957
Epoch 19, Loss 0.048, Train Accuracy 0.989, Validation Accuracy 0.958, Train F1-Macro 0.988, Validation F1-Macro 0.958, Train F1-Micro 0.989, Validation F1-Micro 0.958
Epoch 20, Loss 0.046, Train Accuracy 0.989, Validation Accuracy 0.958, Train F1-Macro 0.989, Validation F1-Macro 0.958, Train F1-Micro 0.989, Validation F1-Micro 0.958
Epoch 21, Loss 0.042, Train Accuracy 0.990, Validation Accuracy 0.958, Train F1-Macro 0.990, Validation F1-Macro 0.958, Train F1-Micro 0.990, Validation F1-Micro 0.958
Epoch 22, Loss 0.039, Train Accuracy 0.991, Validation Accuracy 0.959, Train F1-Macro 0.990, Validation F1-Macro 0.959, Train F1-Micro 0.991, Validation F1-Micro 0.959
Epoch 23, Loss 0.038, Train Accuracy 0.993, Validation Accuracy 0.960, Train F1-Macro 0.993, Validation F1-Macro 0.960, Train F1-Micro 0.993, Validation F1-Micro 0.960
