=======================================================
784-200-100-30-2
Epoch 0, Loss 0.765, Train Accuracy 0.512, Validation Accuracy 0.499, Train F1-Macro 0.342, Validation F1-Macro 0.335, Train F1-Micro 0.512, Validation F1-Micro 0.335
Epoch 1, Loss 0.695, Train Accuracy 0.446, Validation Accuracy 0.439, Train F1-Macro 0.429, Validation F1-Macro 0.419, Train F1-Micro 0.446, Validation F1-Micro 0.419
Epoch 2, Loss 0.696, Train Accuracy 0.572, Validation Accuracy 0.569, Train F1-Macro 0.565, Validation F1-Macro 0.564, Train F1-Micro 0.572, Validation F1-Micro 0.564
Epoch 3, Loss 0.693, Train Accuracy 0.494, Validation Accuracy 0.502, Train F1-Macro 0.357, Validation F1-Macro 0.356, Train F1-Micro 0.494, Validation F1-Micro 0.356
Epoch 4, Loss 0.680, Train Accuracy 0.583, Validation Accuracy 0.582, Train F1-Macro 0.570, Validation F1-Macro 0.572, Train F1-Micro 0.583, Validation F1-Micro 0.572
Epoch 5, Loss 0.674, Train Accuracy 0.592, Validation Accuracy 0.586, Train F1-Macro 0.583, Validation F1-Macro 0.578, Train F1-Micro 0.592, Validation F1-Micro 0.578
Epoch 6, Loss 0.674, Train Accuracy 0.590, Validation Accuracy 0.585, Train F1-Macro 0.581, Validation F1-Macro 0.579, Train F1-Micro 0.590, Validation F1-Micro 0.579
Epoch 7, Loss 0.692, Train Accuracy 0.566, Validation Accuracy 0.546, Train F1-Macro 0.509, Validation F1-Macro 0.493, Train F1-Micro 0.566, Validation F1-Micro 0.493
Epoch 8, Loss 0.704, Train Accuracy 0.563, Validation Accuracy 0.551, Train F1-Macro 0.562, Validation F1-Macro 0.551, Train F1-Micro 0.563, Validation F1-Micro 0.551
Epoch 9, Loss 0.764, Train Accuracy 0.592, Validation Accuracy 0.587, Train F1-Macro 0.575, Validation F1-Macro 0.573, Train F1-Micro 0.592, Validation F1-Micro 0.573
Epoch 10, Loss 0.706, Train Accuracy 0.556, Validation Accuracy 0.546, Train F1-Macro 0.473, Validation F1-Macro 0.467, Train F1-Micro 0.556, Validation F1-Micro 0.467
Epoch 11, Loss 0.683, Train Accuracy 0.593, Validation Accuracy 0.576, Train F1-Macro 0.578, Validation F1-Macro 0.563, Train F1-Micro 0.593, Validation F1-Micro 0.563
