=======================================================
dolphins
Epoch 0, Loss 1.338, Train Accuracy 0.351, Validation Accuracy 0.500, Train F1-Macro 0.130, Validation F1-Macro 0.222, Train F1-Micro 0.351, Validation F1-Micro 0.222
Epoch 1, Loss 1.337, Train Accuracy 0.351, Validation Accuracy 0.500, Train F1-Macro 0.130, Validation F1-Macro 0.222, Train F1-Micro 0.351, Validation F1-Micro 0.222
Epoch 2, Loss 1.337, Train Accuracy 0.351, Validation Accuracy 0.500, Train F1-Macro 0.130, Validation F1-Macro 0.222, Train F1-Micro 0.351, Validation F1-Micro 0.222
Epoch 3, Loss 1.336, Train Accuracy 0.351, Validation Accuracy 0.500, Train F1-Macro 0.130, Validation F1-Macro 0.222, Train F1-Micro 0.351, Validation F1-Micro 0.222
Epoch 4, Loss 1.335, Train Accuracy 0.351, Validation Accuracy 0.500, Train F1-Macro 0.130, Validation F1-Macro 0.222, Train F1-Micro 0.351, Validation F1-Micro 0.222
Epoch 5, Loss 1.335, Train Accuracy 0.351, Validation Accuracy 0.500, Train F1-Macro 0.130, Validation F1-Macro 0.222, Train F1-Micro 0.351, Validation F1-Micro 0.222
Epoch 6, Loss 1.334, Train Accuracy 0.351, Validation Accuracy 0.500, Train F1-Macro 0.130, Validation F1-Macro 0.222, Train F1-Micro 0.351, Validation F1-Micro 0.222
Epoch 7, Loss 1.334, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 8, Loss 1.333, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 9, Loss 1.332, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 10, Loss 1.332, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 11, Loss 1.331, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 12, Loss 1.331, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 13, Loss 1.330, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 14, Loss 1.329, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 15, Loss 1.329, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 16, Loss 1.328, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 17, Loss 1.328, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 18, Loss 1.327, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 19, Loss 1.326, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 20, Loss 1.326, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 21, Loss 1.325, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 22, Loss 1.325, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 23, Loss 1.324, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
Epoch 24, Loss 1.323, Train Accuracy 0.378, Validation Accuracy 0.500, Train F1-Macro 0.137, Validation F1-Macro 0.222, Train F1-Micro 0.378, Validation F1-Micro 0.222
