=======================================================
pubmed
Epoch 0, Loss 1.086, Train Accuracy 0.417, Validation Accuracy 0.412, Train F1-Macro 0.308, Validation F1-Macro 0.307, Train F1-Micro 0.417, Validation F1-Micro 0.307
Epoch 1, Loss 1.083, Train Accuracy 0.421, Validation Accuracy 0.417, Train F1-Macro 0.311, Validation F1-Macro 0.311, Train F1-Micro 0.421, Validation F1-Micro 0.311
Epoch 2, Loss 1.079, Train Accuracy 0.421, Validation Accuracy 0.408, Train F1-Macro 0.311, Validation F1-Macro 0.304, Train F1-Micro 0.421, Validation F1-Micro 0.304
Epoch 3, Loss 1.077, Train Accuracy 0.430, Validation Accuracy 0.415, Train F1-Macro 0.318, Validation F1-Macro 0.309, Train F1-Micro 0.430, Validation F1-Micro 0.309
Epoch 4, Loss 1.074, Train Accuracy 0.432, Validation Accuracy 0.419, Train F1-Macro 0.319, Validation F1-Macro 0.312, Train F1-Micro 0.432, Validation F1-Micro 0.312
Epoch 5, Loss 1.072, Train Accuracy 0.433, Validation Accuracy 0.418, Train F1-Macro 0.319, Validation F1-Macro 0.311, Train F1-Micro 0.433, Validation F1-Micro 0.311
Epoch 6, Loss 1.070, Train Accuracy 0.437, Validation Accuracy 0.417, Train F1-Macro 0.322, Validation F1-Macro 0.310, Train F1-Micro 0.437, Validation F1-Micro 0.310
Epoch 7, Loss 1.068, Train Accuracy 0.437, Validation Accuracy 0.417, Train F1-Macro 0.322, Validation F1-Macro 0.309, Train F1-Micro 0.437, Validation F1-Micro 0.309
Epoch 8, Loss 1.067, Train Accuracy 0.440, Validation Accuracy 0.413, Train F1-Macro 0.323, Validation F1-Macro 0.306, Train F1-Micro 0.440, Validation F1-Micro 0.306
Epoch 9, Loss 1.065, Train Accuracy 0.439, Validation Accuracy 0.416, Train F1-Macro 0.322, Validation F1-Macro 0.307, Train F1-Micro 0.439, Validation F1-Micro 0.307
Epoch 10, Loss 1.064, Train Accuracy 0.442, Validation Accuracy 0.420, Train F1-Macro 0.323, Validation F1-Macro 0.310, Train F1-Micro 0.442, Validation F1-Micro 0.310
