=======================================================
twitter
Epoch 0, Loss 1.091, Train Accuracy 0.514, Validation Accuracy 0.523, Train F1-Macro 0.226, Validation F1-Macro 0.229, Train F1-Micro 0.514, Validation F1-Micro 0.229
Epoch 1, Loss 1.026, Train Accuracy 0.530, Validation Accuracy 0.523, Train F1-Macro 0.231, Validation F1-Macro 0.229, Train F1-Micro 0.530, Validation F1-Micro 0.229
Epoch 2, Loss 1.003, Train Accuracy 0.517, Validation Accuracy 0.523, Train F1-Macro 0.227, Validation F1-Macro 0.229, Train F1-Micro 0.517, Validation F1-Micro 0.229
Epoch 3, Loss 0.996, Train Accuracy 0.518, Validation Accuracy 0.523, Train F1-Macro 0.227, Validation F1-Macro 0.229, Train F1-Micro 0.518, Validation F1-Micro 0.229
Epoch 4, Loss 0.994, Train Accuracy 0.501, Validation Accuracy 0.523, Train F1-Macro 0.223, Validation F1-Macro 0.229, Train F1-Micro 0.501, Validation F1-Micro 0.229
Epoch 5, Loss 0.991, Train Accuracy 0.514, Validation Accuracy 0.523, Train F1-Macro 0.226, Validation F1-Macro 0.229, Train F1-Micro 0.514, Validation F1-Micro 0.229
Epoch 6, Loss 0.990, Train Accuracy 0.530, Validation Accuracy 0.523, Train F1-Macro 0.231, Validation F1-Macro 0.229, Train F1-Micro 0.530, Validation F1-Micro 0.229
Epoch 7, Loss 0.989, Train Accuracy 0.517, Validation Accuracy 0.523, Train F1-Macro 0.227, Validation F1-Macro 0.229, Train F1-Micro 0.517, Validation F1-Micro 0.229
Epoch 8, Loss 0.990, Train Accuracy 0.518, Validation Accuracy 0.523, Train F1-Macro 0.227, Validation F1-Macro 0.229, Train F1-Micro 0.518, Validation F1-Micro 0.229
Epoch 9, Loss 0.991, Train Accuracy 0.501, Validation Accuracy 0.523, Train F1-Macro 0.223, Validation F1-Macro 0.229, Train F1-Micro 0.501, Validation F1-Micro 0.229
Epoch 10, Loss 0.989, Train Accuracy 0.514, Validation Accuracy 0.523, Train F1-Macro 0.226, Validation F1-Macro 0.229, Train F1-Micro 0.514, Validation F1-Micro 0.229
Epoch 11, Loss 0.989, Train Accuracy 0.530, Validation Accuracy 0.523, Train F1-Macro 0.231, Validation F1-Macro 0.229, Train F1-Micro 0.530, Validation F1-Micro 0.229
